n(SiO2)/n(Al2O3),n(SiO2)/n(CaO),Alkali equivalent (%),Activator modulus,Liquid/Solid,Fine aggregate/Binder,Coarse aggregate/Binder,First day curing temperature (℃),Subsequent curing temperature (℃),Freezing temperatures (℃),Thawing temperature (℃),Curing time (d),F– T cycles,Compressive strength before F– T (MPa),Compressive strength loss rate (%)
18.1,0.76,11.63,0,0.7,0,0,26,26,-5,26,28,5,5.49,6.85
18.1,0.76,11.63,0,0.7,0,0,26,26,-10,26,28,5,5.49,25.99
18.1,0.76,11.63,0,0.7,0,0,26,26,-20,26,28,5,5.49,58.4
18.1,0.76,11.63,0,0.7,0,0,26,26,-40,26,28,5,5.49,73.94
18.1,0.76,11.63,0,0.7,0,0,26,26,-5,26,28,10,5.49,21.34
18.1,0.76,11.63,0,0.7,0,0,26,26,-10,26,28,10,5.49,36.18
18.1,0.76,11.63,0,0.7,0,0,26,26,-20,26,28,10,5.49,62.48
18.1,0.76,11.63,0,0.7,0,0,26,26,-40,26,28,10,5.49,76.37
18.1,0.76,11.63,0,0.7,0,0,26,26,-5,26,28,15,5.49,26.72
18.1,0.76,11.63,0,0.7,0,0,26,26,-10,26,28,15,5.49,41.42
18.1,0.76,11.63,0,0.7,0,0,26,26,-20,26,28,15,5.49,66.64
18.1,0.76,11.63,0,0.7,0,0,26,26,-40,26,28,15,5.49,79.51
18.1,0.76,11.63,0,0.7,0,0,26,26,-5,26,28,20,5.49,36.31
18.1,0.76,11.63,0,0.7,0,0,26,26,-10,26,28,20,5.49,48.02
18.1,0.76,11.63,0,0.7,0,0,26,26,-20,26,28,20,5.49,69.1
18.1,0.76,11.63,0,0.7,0,0,26,26,-40,26,28,20,5.49,82.75
18.1,0.76,11.63,0,0.7,0,0,26,26,-5,26,28,25,5.49,44.69
18.1,0.76,11.63,0,0.7,0,0,26,26,-10,26,28,25,5.49,53.99
18.1,0.76,11.63,0,0.7,0,0,26,26,-20,26,28,25,5.49,71.56
18.1,0.76,11.63,0,0.7,0,0,26,26,-40,26,28,25,5.49,86.4
18.1,0.76,11.63,0,0.7,0,0,26,26,-5,26,28,30,5.49,50.64
18.1,0.76,11.63,0,0.7,0,0,26,26,-10,26,28,30,5.49,60.05
18.1,0.76,11.63,0,0.7,0,0,26,26,-20,26,28,30,5.49,76.67
18.1,0.76,11.63,0,0.7,0,0,26,26,-40,26,28,30,5.49,88.05
18.1,0.76,11.63,0,0.7,0,0,26,26,-5,26,28,35,5.49,55.1
18.1,0.76,11.63,0,0.7,0,0,26,26,-10,26,28,35,5.49,63.34
18.1,0.76,11.63,0,0.7,0,0,26,26,-20,26,28,35,5.49,78.02
18.1,0.76,11.63,0,0.7,0,0,26,26,-40,26,28,35,5.49,90.19
18.1,0.76,11.63,0,0.7,0,0,26,26,-5,26,28,40,5.49,57.7
18.1,0.76,11.63,0,0.7,0,0,26,26,-10,26,28,40,5.49,66.32
18.1,0.76,11.63,0,0.7,0,0,26,26,-20,26,28,40,5.49,81
18.1,0.76,11.63,0,0.7,0,0,26,26,-40,26,28,40,5.49,91.51
18.1,0.76,11.63,0,0.7,0,0,26,26,-5,26,28,45,5.49,60.24
18.1,0.76,11.63,0,0.7,0,0,26,26,-10,26,28,45,5.49,68.81
18.1,0.76,11.63,0,0.7,0,0,26,26,-20,26,28,45,5.49,83.11
18.1,0.76,11.63,0,0.7,0,0,26,26,-40,26,28,45,5.49,93.97
18.1,0.76,11.63,0,0.7,0,0,26,26,-5,26,28,50,5.49,66.85
18.1,0.76,11.63,0,0.7,0,0,26,26,-10,26,28,50,5.49,72.96
18.1,0.76,11.63,0,0.7,0,0,26,26,-20,26,28,50,5.49,83.98
18.1,0.76,11.63,0,0.7,0,0,26,26,-40,26,28,50,5.49,96.18
28.51,1.2,23.25,1,0.55,0,0,26,26,-5,26,28,5,36.65,3.23
28.51,1.2,23.25,1,0.55,0,0,26,26,-10,26,28,5,36.65,16.65
28.51,1.2,23.25,1,0.55,0,0,26,26,-20,26,28,5,36.65,30.34
28.51,1.2,23.25,1,0.55,0,0,26,26,-40,26,28,5,36.65,41.19
28.51,1.2,23.25,1,0.55,0,0,26,26,-5,26,28,10,36.65,13.19
28.51,1.2,23.25,1,0.55,0,0,26,26,-10,26,28,10,36.65,23.45
28.51,1.2,23.25,1,0.55,0,0,26,26,-20,26,28,10,36.65,33.93
28.51,1.2,23.25,1,0.55,0,0,26,26,-40,26,28,10,36.65,49.43
28.51,1.2,23.25,1,0.55,0,0,26,26,-5,26,28,15,36.65,23.05
28.51,1.2,23.25,1,0.55,0,0,26,26,-10,26,28,15,36.65,31.15
28.51,1.2,23.25,1,0.55,0,0,26,26,-20,26,28,15,36.65,39.22
